Alloy,Cast Gas Pressure Setpoint,C.O.C.,Ca. Hardness,Cast Gas Pressure,Cast Speed,Cast Speed Setpoint,Chloride,Conductivity,Furnace (spout/front),Hold time,M-Alkalinity ,Mg. Hardness,Mold Water Flow,Na,Ti,Total Hardness,Oil flow,P-Alkalinity,pH,Tibal Rod Speed 1,Tibal Rod Speed 2,Rod Feeder Speed Setpoint,TDS,Trough Level Selected Furnace Setpoint,Turbidity ,Trough Level Furnace 1,Trough Level Table,Trough Level Table Setpoint,Water Flow Setpoint,Alloy_encoded,Diameter_encoded,Id,start_timestamp,end_timestamp,Actual
606305,4054.93652,1.547161172,282,3981.333989,78.78435782,101.4639848,92.3,1172,718.764652,18.04578755,148,188,400.2976868,0.0012,0.011,470,107.1886447,16,8.49,187.0996883,174.8538731,487.2747386,668,299.14631,1,273.1389868,189.7015482,241.5178998,569.6297351,19,4,BL30290_4_2023,23-04-2023 10:30,23-04-2023 11:20,0
606305,4054.93652,1.547161172,282,3981.333989,78.78435782,101.4639848,92.3,1172,718.764652,18.04578755,148,188,400.2976868,0.0012,0.0122,470,107.1886447,16,8.49,187.0996883,174.8538731,487.2747386,668,299.14631,1,273.1389868,189.7015482,241.5178998,569.6297351,19,4,BL30480_3_2023,23-04-2023 10:30,23-04-2023 11:20,0
606305,4054.93652,1.547161172,282,3981.333989,78.78435782,101.4639848,92.3,1172,718.764652,18.04578755,148,188,400.2976868,0.0008,0.0107,470,107.1886447,16,8.49,187.0996883,174.8538731,487.2747386,668,299.14631,1,273.1389868,189.7015482,241.5178998,569.6297351,19,4,BL40370_3_2023,23-04-2023 10:30,23-04-2023 11:20,0
608203,4054.93652,1.547161172,282,3981.333989,103.6705931,103.6206897,105.08,1172,720,19,160,178,507.1581384,0.000983781,0.01147818,470,80,16,8.49,287.584519,262.9388607,487.2747386,668,300,4,273.1389868,189.7015482,241.5178998,569.6297351,28,4,BL40303_3_2023,07-03-2023 15:40,07-03-2023 16:30,0
606305,4054.93652,1.547161172,282,3981.333989,78.78435782,101.4639848,92.3,1172,718.764652,18.04578755,148,188,400.2976868,0.0012,0.0107,470,107.1886447,16,8.49,187.0996883,174.8538731,487.2747386,668,299.14631,1,273.1389868,189.7015482,241.5178998,569.6297351,19,4,BL30171_5_2023,23-04-2023 10:30,23-04-2023 11:20,0
606305,4054.93652,1.547161172,282,3981.333989,78.78435782,101.4639848,92.3,1172,718.764652,18.04578755,148,188,400.2976868,0.0011,0.0101,470,107.1886447,16,8.49,187.0996883,174.8538731,487.2747386,668,299.14631,1,273.1389868,189.7015482,241.5178998,569.6297351,19,4,BL31759_12_2022,23-04-2023 10:30,23-04-2023 11:20,0
606318,4127.562062,1.547161172,282,4046.958513,91.03421394,104.3832759,110.76,1172,720,18,160,218,479.2680917,0.001,0.011,470,110,16,8.5,241.4992339,244.5031528,487.2747386,668,300,1.15,273.1389868,189.7015482,241.5178998,569.6297351,23,4,BL40116_1_2023,23-01-2023 03:50,23-01-2023 04:40,0
606305,4054.93652,1.547161172,282,3981.333989,78.78435782,101.4639848,92.3,1172,718.764652,18.04578755,148,188,400.2976868,0.0009,0.0107,470,107.1886447,16,8.49,187.0996883,174.8538731,487.2747386,668,299.14631,1,273.1389868,189.7015482,241.5178998,569.6297351,19,4,BL40621_4_2023,23-04-2023 10:30,23-04-2023 11:20,0
606306,4357.80001,1.547161172,282,4245.207914,107.8981952,107.8861403,116.44,1172,715,18,148,253,498.8834721,0.000983781,0.01147818,470,110,16,8.49,238.8138032,216.3242273,487.2747386,668,300,1,273.1389868,189.7015482,241.5178998,569.6297351,20,4,BL30470_4_2023,02-04-2023 14:25,02-04-2023 15:15,0
606305,4054.93652,1.547161172,282,3981.333989,78.78435782,101.4639848,92.3,1172,718.764652,18.04578755,148,188,400.2976868,0.0012,0.0111,470,107.1886447,16,8.49,187.0996883,174.8538731,487.2747386,668,299.14631,1,273.1389868,189.7015482,241.5178998,569.6297351,19,4,BL40473_3_2023,23-04-2023 10:30,23-04-2023 11:20,0
